filmtv_id,title,year,genre,duration,country,avg_vote,critics_vote,public_vote,total_votes,humor,rhythm,effort,tension,erotism,Labels
12849,Pulp Fiction,1994,12,154,51,9.0,9.13,9.0,1010,3,3,4,3,1,8
6476,The Shining,1980,13,119,51,9.1,9.31,9.0,964,1,2,3,4,1,8
39496,Inglourious Basterds,2009,15,153,51,8.2,8.39,8.0,881,2,4,3,4,1,8
39429,Gran Torino,2008,4,116,51,8.5,8.54,9.0,881,1,2,3,3,0,8
17065,A Clockwork Orange,1971,7,137,95,9.1,9.38,9.0,870,1,3,3,3,1,8
24309,Kill Bill: vol. 1,2003,19,100,51,7.8,7.7,8.0,816,2,4,2,4,1,8
1963,2001: A Space Odyssey,1968,5,141,95,9.1,9.32,9.0,801,0,2,4,2,0,8
27930,Million Dollar Baby,2004,4,137,51,8.4,8.38,8.0,799,1,3,3,4,0,8
10623,Blade Runner,1982,5,124,51,9.0,9.03,9.0,789,1,2,3,4,2,8
49812,Django Unchained,2012,22,163,51,7.8,7.68,8.0,760,3,3,3,4,2,8
39730,Avatar,2009,5,162,51,7.1,6.98,7.0,747,1,3,3,3,1,8
41013,Inception,2010,14,148,51,7.1,6.84,7.0,731,1,3,3,3,1,8
9277,Full Metal Jacket,1987,15,116,51,8.9,9.05,9.0,730,2,4,5,4,0,8
24590,Mystic River,2003,4,137,51,8.5,8.71,8.0,729,1,3,3,4,0,8
7025,Taxi Driver,1976,4,110,51,9.1,9.34,9.0,727,0,2,3,3,1,8
35913,The Departed,2006,12,151,51,7.8,7.75,8.0,722,1,4,4,4,2,8
36930,No Country for Old Men,2007,4,122,51,8.3,8.42,8.0,719,1,4,4,4,0,8
26414,Kill Bill: vol. 2,2004,19,136,51,7.6,7.5,8.0,707,2,3,2,3,1,8
37960,The Dark Knight,2008,24,152,51,7.5,7.34,8.0,705,1,3,2,3,0,8
4991,The Godfather,1972,4,178,51,9.1,9.19,9.0,701,1,3,4,4,1,8
1152,Once Upon a Time in America,1984,4,220,51,9.1,9.17,9.0,699,2,3,5,3,2,8
5580,Psycho,1960,14,108,51,9.2,9.35,9.0,688,1,4,3,5,2,8
52594,La grande bellezza,2013,4,150,70,6.8,6.92,7.0,684,2,2,4,1,2,8
36655,The Prestige,2006,5,128,51,8.0,8.07,8.0,678,1,3,3,3,1,8
8577,Reservoir Dogs,1992,12,106,51,8.3,8.14,8.0,660,3,3,3,4,0,8
1022,The Blues Brothers,1980,27,127,51,8.7,8.73,9.0,654,3,3,1,1,0,8
28918,Match Point,2005,4,120,51,7.8,7.91,8.0,647,1,3,2,3,2,8
242,Alien,1979,5,115,95,8.5,8.58,8.0,644,0,3,2,4,0,8
40510,Shutter Island,2009,2,138,51,7.2,6.91,8.0,644,0,3,3,4,0,8
37391,Into the Wild,2007,4,148,51,7.5,7.49,7.0,641,0,1,2,1,0,8
17617,The Truman Show,1998,27,103,51,8.4,8.49,8.0,634,2,3,3,3,0,8
74706,The Hateful Eight,2015,22,187,51,7.5,7.33,8.0,633,2,2,2,3,0,8
54858,The Wolf of Wall Street,2013,16,179,51,7.6,7.67,8.0,632,3,3,3,2,3,8
