filmtv_id,title,year,genre,duration,country,avg_vote,critics_vote,public_vote,total_votes,humor,rhythm,effort,tension,erotism,Labels
7829,To Live and Die in L.A.,1985,2,114,51,8.3,8.5,8.0,220,3,4,3,4,3,5
4398,The Mission,1986,4,125,95,6.9,6.56,7.0,218,1,3,4,4,1,5
36725,Chin-jeol-han Geum-ja-sshi,2005,2,112,20,7.7,7.5,8.0,218,0,2,3,3,0,5
23567,The Hours,2002,4,114,51,7.1,6.94,7.0,217,0,1,3,2,1,5
10016,Trois couleurs. Bleu,1993,4,99,42,8.0,7.81,8.0,217,0,2,4,3,1,5
36687,Rocky Balboa,2006,4,102,51,6.4,6.37,6.0,217,1,3,3,3,0,5
21051,Amores perros,2000,4,147,126,7.8,7.92,8.0,217,0,3,4,3,1,5
35346,Perfume. The Story of a Murder,2006,4,147,42,5.5,5.0,6.0,216,1,2,2,2,1,5
3262,The Big Sleep,1946,2,114,51,8.5,9.09,8.0,216,2,2,2,3,1,5
40719,Brothers,2009,4,108,51,6.8,6.92,7.0,215,0,2,2,3,1,5
24277,Confessions of a Dangerous Mind,2002,4,113,51,6.7,6.59,7.0,215,3,3,3,3,2,5
22831,Resident Evil,2002,5,100,95,6.2,6.31,6.0,215,1,3,2,3,1,5
3814,Kramer vs. Kramer,1979,4,102,51,7.8,8.0,8.0,214,2,3,4,3,2,5
45089,The Descendants,2011,4,115,51,6.6,6.52,7.0,214,1,2,3,1,0,5
53126,After Earth,2013,5,100,51,4.9,4.84,5.0,214,0,2,2,2,0,5
40402,Kynodontas,2009,4,94,67,7.7,7.59,8.0,214,1,2,4,4,2,5
42086,Winter's Bone,2010,4,100,51,6.9,6.79,7.0,214,0,3,3,3,0,5
71160,The Walk,2015,4,100,51,6.8,6.91,7.0,214,2,3,2,2,0,5
47257,Educazione siberiana,2013,4,110,70,5.8,5.52,6.0,213,0,2,2,2,0,5
10891,Short Cuts,1993,4,193,51,8.3,8.78,8.0,213,2,3,3,3,2,5
42946,La solitudine dei numeri primi,2010,4,118,70,6.2,6.5,6.0,212,0,1,1,2,1,5
4591,Born on the Fourth of July,1990,4,136,51,7.3,7.44,7.0,212,0,3,4,4,1,5
18540,A Simple Plan,1998,2,121,51,8.0,8.06,8.0,212,0,3,0,3,0,5
2900,On the Waterfront,1954,4,108,51,8.2,8.15,8.0,211,0,3,3,3,0,5
4078,The Wizard of Oz,1939,6,101,51,7.9,8.15,8.0,211,2,3,0,1,0,5
10475,Stargate,1994,5,95,51,6.3,6.25,6.0,211,0,2,1,2,0,5
43954,Jodaeiye Nader az Simin,2011,4,123,122,8.0,8.14,8.0,210,3,4,5,4,1,5
45559,The Impossible,2012,4,107,94,6.6,6.41,7.0,210,0,4,3,4,0,5
141269,A Star Is Born,2018,4,135,51,6.0,5.75,6.0,210,0,0,0,0,0,5
63140,Il ragazzo invisibile,2014,5,100,70,5.7,5.12,6.0,210,2,3,1,1,1,5
24266,Chicago,2002,6,113,51,6.9,6.86,7.0,210,2,3,0,1,1,5
3090,Days of Heaven,1978,4,95,51,8.0,8.07,8.0,210,1,3,4,4,2,5
16155,Badlands,1973,4,90,51,8.0,8.06,8.0,209,0,2,2,3,0,5
4410,Mississippi Burning,1988,4,123,51,7.5,7.21,8.0,209,0,1,3,3,0,5
7143,The Maltese Falcon,1941,2,90,51,8.3,8.83,8.0,209,2,4,3,4,1,5
30224,The Brothers Grimm,2005,5,120,95,5.9,5.75,6.0,209,2,2,1,1,0,5
14910,Crash,1996,4,103,106,7.3,7.22,7.0,208,1,2,2,3,3,5
43871,La piel que habito,2011,4,117,94,6.3,6.03,7.0,208,1,2,3,3,3,5
16942,L'albero degli zoccoli,1978,4,170,70,8.4,9.23,8.0,207,0,1,4,1,0,5
20520,Dancer in the Dark,2000,4,139,53,7.6,7.42,8.0,207,1,3,3,3,0,5
3821,The Year of the Dragon,1985,2,136,51,7.6,7.79,7.0,207,0,2,0,3,2,5
11729,Raising Arizona,1987,7,93,51,7.6,7.69,7.0,207,3,3,1,1,0,5
7100,The Third Man,1949,2,105,95,8.6,8.65,9.0,207,1,4,2,4,1,5
37712,Caos calmo,2008,4,112,70,6.2,6.1,6.0,207,1,3,1,2,2,5
45093,Moneyball,2011,4,126,51,6.9,7.0,7.0,206,1,3,3,2,0,5
6849,La strada,1954,4,94,70,8.8,8.9,9.0,206,1,3,2,3,0,5
18088,Viskiningar och rop,1973,4,91,84,8.2,8.89,7.0,206,0,3,4,4,1,5
2919,Midnight Express,1978,4,119,95,7.7,7.55,8.0,206,0,3,3,3,1,5
27649,"36, Quai des Orfèvres",2004,2,110,42,7.4,7.42,7.0,206,0,2,2,3,0,5
1770,Conan the Barbarian,1981,5,128,51,7.2,7.0,7.0,205,1,3,0,2,1,5
12949,Waterworld,1995,5,135,51,6.3,6.06,6.0,205,2,3,1,3,1,5
6030,Rocky II,1979,4,119,51,6.3,6.12,7.0,205,1,3,1,2,0,5
54643,Saving Mr. Banks,2013,4,126,95,7.0,7.24,7.0,205,2,2,2,0,0,5
16239,Carne trémula,1997,2,100,94,7.4,7.68,7.0,205,1,2,2,2,2,5
127460,Moonlight,2016,4,110,51,6.5,6.55,6.0,205,0,0,0,0,0,5
40102,Okuribito,2008,4,130,103,7.4,6.96,8.0,205,1,2,2,0,0,5
9297,A Few Good Men,1992,4,138,51,7.2,7.07,7.0,204,1,3,3,3,1,5
11517,The Last Temptation of Christ,1988,4,161,51,7.6,7.5,8.0,204,0,2,2,3,0,5
73569,Room,2015,4,118,39,7.0,6.92,7.0,204,0,1,2,2,0,5
22015,La pianiste,2001,4,130,98,7.3,7.28,7.0,204,0,2,2,2,2,5
50322,Stoker,2013,4,98,51,7.0,6.96,7.0,204,0,2,2,3,3,5
28908,Der Untergang,2004,4,150,113,6.9,6.63,7.0,204,0,2,2,1,1,5
12146,Naked Lunch,1992,4,111,51,7.3,7.04,8.0,204,1,2,2,3,1,5
36951,"4 luni, 3 saptamâni si 2 zile",2007,4,113,16,7.9,8.13,8.0,204,1,3,4,3,1,5
9204,The Fisher King,1991,4,137,51,7.3,7.05,8.0,203,1,3,2,2,0,5
55028,Philomena,2013,4,94,95,6.7,6.59,7.0,203,1,2,3,1,0,5
39022,Gake no ue no Ponyo,2008,9,100,103,7.9,7.96,8.0,203,1,2,1,1,0,5
20272,Space Cowboys,2000,5,129,51,6.6,6.63,7.0,202,1,1,1,1,0,5
40910,Celda 211,2009,4,111,42,7.4,7.31,8.0,202,1,3,2,3,0,5
