filmtv_id,title,year,genre,duration,country,avg_vote,critics_vote,public_vote,total_votes,humor,rhythm,effort,tension,erotism,Labels
15344,The Navigator,1924,27,65,51,8.5,8.18,9.0,87,4,4,1,1,0,4
23539,Le vacances de Monsieur Hulot,1953,27,96,42,7.9,8.07,8.0,83,3,2,0,0,0,4
8570,Mia moglie è una strega,1980,27,93,70,5.7,5.18,6.0,82,3,1,1,1,1,4
8058,È arrivato mio fratello,1985,27,98,70,5.6,5.33,6.0,82,3,2,0,0,1,4
2391,I due marescialli,1961,27,98,70,7.0,6.82,7.0,82,2,2,0,2,1,4
19780,Stuart Little,2000,27,83,51,5.6,5.8,5.0,82,2,2,1,0,0,4
5013,"Pane, amore e...",1955,27,100,70,6.3,6.0,7.0,82,3,3,0,0,0,4
2715,I fichissimi,1981,27,90,70,5.5,5.44,6.0,82,3,2,0,1,0,4
1719,How to Marry a Millionaire,1953,27,95,51,7.4,7.64,7.0,82,2,3,0,1,2,4
15006,A spasso nel tempo,1996,27,95,70,3.8,3.8,4.0,82,3,1,0,0,1,4
6531,Signori si nasce,1960,27,95,70,7.3,7.0,8.0,81,3,2,0,0,0,4
22767,Scooby-Doo,2001,27,98,51,4.3,4.0,5.0,81,2,2,0,0,1,4
6922,Sua Eccellenza si fermò a mangiare,1961,27,101,70,6.9,6.92,7.0,81,3,2,0,0,1,4
137324,The Party,2017,27,71,95,6.5,6.27,7.0,81,0,0,0,0,0,4
23775,Astérix & Obélix. Mission Cléopâtre,2002,27,97,42,5.0,5.0,5.0,81,3,2,0,0,1,4
36730,Tenacious D in: The Pick of Destiny,2006,27,93,51,5.8,5.36,6.0,81,2,2,0,1,0,4
49300,Project X,2012,27,88,51,5.3,5.12,5.0,81,2,3,0,0,2,4
4116,Mani di velluto,1979,27,100,70,5.3,5.0,6.0,81,2,1,0,0,0,4
54966,Buongiorno papà,2013,27,104,70,5.3,4.92,6.0,80,2,2,1,1,0,4
129134,Tully,2018,27,94,51,6.5,6.93,6.0,80,0,0,0,0,0,4
6489,Siamo uomini o caporali?,1955,27,96,70,7.0,6.8,7.0,80,3,2,2,0,1,4
13296,La flor de mi secreto,1995,27,100,94,6.9,7.36,6.0,80,2,2,0,1,2,4
14334,The Cable Guy,1996,27,91,51,4.8,4.5,5.0,80,1,2,0,0,0,4
11239,Dave,1993,27,110,51,6.9,7.08,7.0,80,2,2,0,0,1,4
15333,Pappa e ciccia,1982,27,96,70,5.2,4.67,6.0,80,2,2,1,1,1,4
27335,In questo mondo di ladri,2004,27,91,70,4.4,4.11,5.0,80,3,3,0,0,0,4
15179,Uomo d'acqua dolce,1997,27,90,70,5.5,5.56,5.0,80,3,2,1,1,0,4
7242,Totò lascia o raddoppia?,1956,27,85,70,6.5,6.27,7.0,80,3,2,0,0,0,4
5115,History of the World - Part 1,1981,27,88,51,5.7,5.42,6.0,80,3,3,0,0,1,4
5282,Pierino contro tutti,1981,27,92,70,4.3,3.57,5.0,80,3,1,0,0,2,4
8489,Father of the Bride,1991,27,105,51,6.4,6.5,6.0,80,3,2,1,1,0,4
41173,Oggi sposi,2009,27,114,70,5.2,5.0,5.0,79,2,2,0,1,0,4
501,L'argent de poche,1976,27,104,42,7.8,7.94,8.0,79,2,3,3,1,0,4
8964,Le vie del Signore sono finite,1987,27,117,70,7.0,7.0,7.0,79,2,1,2,1,0,4
74274,The Dressmaker,2015,27,118,92,5.9,5.83,6.0,79,0,0,0,0,0,4
4545,Crocodile Dundee II,1988,27,112,92,5.3,3.67,7.0,79,2,2,1,2,1,4
38595,Forgetting Sarah Marshall,2008,27,112,51,5.8,5.67,6.0,79,3,3,1,0,2,4
30766,The Big White,2005,27,100,51,6.3,6.25,6.0,79,2,1,1,1,1,4
59936,"Les garçons et Guillaume, à table",2013,27,85,42,6.8,7.55,6.0,79,3,3,1,1,0,4
38796,Disaster Movie,2008,27,90,51,2.1,2.13,2.0,79,1,2,0,0,0,4
16808,Mouse Hunt,1998,27,95,51,6.8,6.89,7.0,79,2,3,0,1,0,4
65648,Gemma Bovery,2014,27,99,42,6.4,7.07,6.0,79,5,2,1,0,2,4
14711,Totò le Moko,1949,27,91,70,6.9,7.44,6.0,79,4,1,0,0,1,4
37458,Matrimonio alle Bahamas,2007,27,92,70,3.1,3.0,3.0,79,2,1,0,0,0,4
29566,Anchorman: The Legend of Ron Burgundy,2004,27,94,51,6.0,5.8,6.0,78,2,2,0,0,0,4
66136,Paddington,2014,27,97,95,6.4,6.2,7.0,78,2,2,0,1,0,4
45098,Fright Night,2011,27,120,95,5.4,5.58,5.0,78,1,2,2,2,1,4
9980,Stop! Or My Mom Will Shoot,1992,27,87,51,3.9,3.56,4.0,78,1,2,0,1,0,4
44169,Larry Crowne,2011,27,98,51,4.7,4.42,5.0,78,2,2,1,1,1,4
7240,"Totò, Fabrizi e i giovani d'oggi",1960,27,87,70,7.0,6.67,7.0,78,4,3,1,1,0,4
55911,Last Vegas,2013,27,105,51,4.6,4.4,5.0,78,1,2,0,0,0,4
820,The Golden Child,1986,27,93,51,4.2,3.33,5.0,78,1,2,0,1,0,4
73,Abbronzatissimi,1991,27,114,70,3.2,3.0,3.0,78,2,1,0,0,1,4
42121,Date Night,2010,27,90,51,4.4,3.89,5.0,78,2,2,0,0,0,4
11241,Sister Act 2 - Back in the Abit,1993,27,106,51,4.6,3.9,5.0,78,2,2,0,0,0,4
20889,Bodyguards,2000,27,95,70,3.7,4.0,3.0,78,1,1,0,0,1,4
12867,S.P.Q.R..2000 e 1/2 anni fa,1994,27,103,70,3.6,3.8,3.0,78,1,2,0,0,1,4
26339,Peter Pan,2003,27,117,51,5.6,4.8,6.0,78,2,3,0,1,0,4
22330,Legally Blonde,2001,27,96,51,5.5,5.5,6.0,78,2,2,1,0,1,4
20374,Road Trip,2000,27,95,51,5.4,5.29,6.0,78,1,2,0,0,0,4
27195,Garfield,2004,27,80,51,5.4,5.57,5.0,78,2,2,0,0,0,4
19235,Tifosi,1999,27,90,70,4.9,4.71,5.0,77,2,2,0,0,0,4
24779,Bringing Down the House,2003,27,100,51,6.6,7.13,6.0,77,2,2,0,0,1,4
28592,Il ritorno del Monnezza,2005,27,90,70,3.6,3.78,3.0,77,2,2,0,1,0,4
39366,Confessions of a Shopaholic,2009,27,105,51,3.5,2.6,4.0,77,1,2,0,0,0,4
172665,Il primo Natale,2019,27,100,70,4.7,4.27,5.0,77,0,0,0,0,0,4
