filmtv_id,title,year,genre,duration,country,avg_vote,critics_vote,public_vote,total_votes,humor,rhythm,effort,tension,erotism,Labels
45886,To Rome with Love,2012,27,115,94,4.3,4.29,4.0,288,2,1,1,0,1,1
78838,La pazza gioia,2016,27,118,70,6.9,6.88,7.0,284,0,0,0,0,0,1
40811,The Men Who Stare at Goats ,2009,27,93,51,6.2,6.21,6.0,283,3,2,1,1,0,1
4102,Home Alone,1990,27,106,51,6.7,6.37,7.0,283,3,2,1,0,0,1
7936,Zelig,1983,27,80,51,8.5,8.68,8.0,280,4,3,3,1,0,1
32790,Marie-Antoinette,2006,27,123,51,6.9,6.83,7.0,279,1,2,1,1,1,1
23920,Pinocchio,2002,27,115,70,4.8,4.63,5.0,278,1,2,1,0,0,1
20790,Chiedimi se sono felice,2000,27,100,70,6.8,6.54,7.0,278,4,3,2,0,0,1
27857,Meet the Fockers,2004,27,115,51,6.1,5.88,6.0,278,3,3,1,0,1,1
41178,Le concert ,2009,27,119,42,7.4,7.36,8.0,277,4,3,4,3,0,1
11693,Manhattan Murder Mystery,1993,27,105,51,7.3,7.32,7.0,276,3,3,0,2,0,1
6096,Un sacco bello,1980,27,99,70,7.4,7.41,7.0,276,3,3,2,0,0,1
16735,Boogie Nights,1997,27,152,51,7.5,7.65,7.0,275,2,2,2,1,2,1
20934,Meet the Parents,2000,27,107,51,6.3,6.15,6.0,274,4,2,1,1,0,1
4470,The Kid,1921,27,51,51,9.2,9.38,9.0,274,4,3,3,1,0,1
17683,There's Something About Mary,1998,27,119,51,7.0,7.13,7.0,273,4,3,1,0,1,1
74282,"Hail, Caesar!",2016,27,106,51,6.5,6.58,7.0,273,2,2,2,1,0,1
3416,The Party,1968,27,99,51,8.1,8.0,8.0,272,4,2,3,1,1,1
8151,The Sting,1974,27,130,51,8.1,8.24,8.0,272,3,4,1,3,0,1
74692,Irrational Man,2015,27,96,51,6.5,6.49,7.0,272,2,3,3,2,1,1
41357,Mine vaganti,2010,27,110,70,6.4,6.32,6.0,267,3,2,2,1,1,1
37297,Hot Fuzz,2007,27,121,95,6.9,6.78,7.0,266,3,3,2,3,0,1
59510,Captain America: The Winter Soldier,2014,24,128,51,6.5,6.6,6.0,265,1,3,2,2,0,1
36720,Night at the Museum,2006,27,108,51,5.7,5.61,6.0,264,3,3,0,0,0,1
21011,Chocolat,2000,27,121,51,5.9,5.24,7.0,263,1,4,3,1,1,1
56759,The Secret Life of Walter Mitty,2013,27,125,51,6.3,5.97,7.0,263,3,3,3,2,1,1
25169,Intolerable Cruelty,2003,27,100,51,6.3,6.48,6.0,262,3,3,0,1,1,1
31877,Notte prima degli esami,2006,27,100,70,5.5,5.0,6.0,262,2,2,0,0,1,1
5009,The Naked Gun: from the Files of Police Squad!,1988,27,86,51,7.6,7.72,7.0,261,4,3,1,1,1,1
27548,Ocean's Twelve,2004,27,120,51,5.6,5.52,6.0,259,2,2,0,1,0,1
36861,Mio fratello è figlio unico,2007,27,100,70,7.0,6.93,7.0,258,2,3,2,2,1,1
37338,Death at a Funeral,2007,27,90,113,6.6,6.29,7.0,257,2,2,0,1,0,1
4139,Il Marchese del Grillo,1981,27,135,70,7.1,6.5,8.0,256,3,2,1,0,1,1
12760,True Lies,1994,23,140,51,7.0,6.94,7.0,256,4,3,2,2,2,1
