filmtv_id,title,year,genre,duration,country,avg_vote,critics_vote,public_vote,total_votes,humor,rhythm,effort,tension,erotism,Labels
16080,Ta'm e guilass,1997,4,95,122,7.7,7.89,8.0,88,1,1,3,2,0,7
44590,Bir zamanlar Anadolu'da,2011,4,150,127,7.2,7.04,7.0,84,0,2,4,4,0,7
27878,Nazarin,1958,4,96,126,8.5,8.5,9.0,84,0,2,0,2,0,7
170087,Bombshell,2019,4,108,106,6.1,6.08,6.0,81,0,0,0,0,0,7
37879,The Contract,2006,4,96,113,4.6,4.0,5.0,81,0,2,0,2,0,7
76140,Shan he gun ren,2015,4,120,115,7.4,7.6,7.0,80,0,0,1,1,0,7
14346,Die bitteren Tränen der Petra von Kant,1972,4,124,113,8.1,7.79,8.0,79,0,1,3,2,3,7
27156,Faustrecht der Freiheit,1975,4,123,113,8.3,8.2,8.0,79,0,2,0,2,0,7
23657,Rokugatsu no hebi,2003,4,77,103,7.6,7.69,7.0,78,1,3,2,4,4,7
22888,Simón del desierto,1965,4,42,126,8.8,8.87,9.0,78,2,3,4,3,2,7
708,The Shout,1978,4,82,95,7.8,8.14,7.0,78,0,3,3,3,2,7
139507,Anon,2018,5,100,113,5.6,5.43,6.0,78,0,0,0,0,0,7
82304,Brimstone,2016,4,140,123,5.7,5.62,6.0,78,0,0,0,0,0,7
143287,The Children Act,2017,4,105,95,6.2,6.0,6.0,78,0,1,1,1,0,7
150947,Mortal Engines,2018,5,128,116,5.7,5.6,6.0,78,0,0,0,0,0,7
184293,The Father,2020,4,97,95,7.4,7.15,8.0,78,0,0,1,0,0,7
19170,Eye of the Beholder,1999,4,110,95,6.8,7.5,6.0,77,0,3,2,0,2,7
22703,Sweet Sixteen,2002,4,106,95,7.3,7.36,7.0,77,1,1,2,1,0,7
39751,The Soloist,2009,4,109,95,6.2,6.25,6.0,77,2,1,2,1,0,7
31144,The Devils,1971,4,111,95,7.9,7.56,8.0,76,0,0,0,0,0,7
46904,Salmon Fishing in the Yemen,2011,4,112,95,6.1,5.86,6.0,76,1,2,2,1,1,7
