filmtv_id,title,year,genre,duration,country,avg_vote,critics_vote,public_vote,total_votes,humor,rhythm,effort,tension,erotism,Labels
3861,Somebody Up There Likes Me,1956,16,113,51,7.7,7.39,8.0,91,1,3,2,3,1,6
4941,Lost Horizon,1937,20,118,51,8.3,8.07,9.0,89,1,2,1,2,0,6
718,The Poseidon Adventure,1972,19,118,51,7.0,6.75,7.0,89,0,2,1,4,0,6
10701,Enter the Dragon/Long zheng hu dou,1973,19,98,51,7.3,7.58,7.0,88,1,3,0,3,0,6
2779,Firefox,1982,19,135,51,5.7,5.69,6.0,87,0,3,1,3,0,6
5096,Patton,1970,16,169,51,7.5,7.4,8.0,86,1,3,1,2,0,6
13567,Il giustiziere sfida la città,1975,19,95,70,6.3,5.64,7.0,86,1,3,0,2,0,6
45976,Hodejegerne,2011,19,101,8,7.1,7.33,7.0,86,1,3,0,3,1,6
45383,Underworld Awakening,2012,19,89,51,5.1,5.29,5.0,86,0,2,1,2,0,6
23638,Undisputed,2002,19,96,51,7.0,7.25,7.0,85,0,3,1,1,0,6
29695,Perdita Durango,1997,19,126,126,7.1,8.0,6.0,85,0,3,2,2,0,6
37134,Huo Yuanjia,2006,19,104,115,6.7,6.42,7.0,85,1,3,1,3,0,6
25011,The Transporter,2002,19,94,42,4.9,4.4,5.0,85,1,2,0,2,1,6
3083,The Jewel of the Nile,1985,20,105,51,6.3,6.63,6.0,85,2,2,0,1,1,6
44389,Ajeossi,2010,19,119,20,7.3,7.54,7.0,85,0,4,1,4,1,6
68923,American Ultra,2015,19,99,51,5.8,6.0,6.0,85,1,3,1,2,1,6
53028,The Man with the Iron Fists,2012,19,96,51,5.5,6.0,5.0,84,1,3,0,2,1,6
51994,End of Watch,2012,19,109,51,5.9,5.75,6.0,84,1,2,1,2,0,6
4314,Miami Supercops,1985,20,97,51,5.1,4.67,6.0,84,1,2,0,1,0,6
65253,Cell,2016,19,98,51,4.5,4.7,4.0,84,0,1,1,1,0,6
26205,The Rundown,2003,19,103,51,5.1,4.89,5.0,84,1,2,0,2,0,6
11173,Death Wish,1974,19,94,51,6.3,5.73,7.0,83,0,3,1,3,1,6
47393,Ip Man 2,2010,19,108,32,6.7,7.0,6.0,83,0,2,0,1,0,6
4582,The Birth of a Nation,1915,18,165,51,7.9,7.58,8.0,83,0,2,4,3,0,6
30261,Four Brothers,2005,19,108,51,6.2,6.0,6.0,83,1,3,2,3,1,6
7695,The Wind and the Lion,1975,20,120,51,7.3,7.41,7.0,82,1,3,2,2,0,6
8989,Around the World in Eighty Days,1956,20,178,51,7.0,6.89,7.0,82,2,2,0,2,0,6
188186,Unhinged,2020,19,90,51,5.9,6.25,6.0,82,0,0,0,0,0,6
3850,The Blue Lagoon,1980,20,105,51,4.7,4.6,5.0,82,1,3,2,1,1,6
7078,Far Country,1954,22,90,51,7.5,8.2,7.0,82,1,3,2,3,1,6
73065,London Has Fallen,2016,19,99,51,4.4,4.11,5.0,82,1,2,1,1,0,6
42105,The Bounty Hunter,2010,19,110,51,4.7,4.38,5.0,82,2,2,0,1,0,6
25412,Cantando dietro i paraventi,2003,20,100,70,7.0,7.14,7.0,82,1,2,2,1,1,6
42361,Die Päpstin,2009,18,149,113,5.9,5.36,6.0,82,0,1,1,1,1,6
15032,The Ghost and the Darkness,1996,20,109,51,5.7,5.2,6.0,81,0,2,1,2,0,6
27734,Around the World in 80 Days,2004,20,120,51,5.0,4.63,5.0,81,3,4,3,3,3,6
69878,Night at the Museum: Secret of the Tomb,2014,20,97,51,4.4,4.22,5.0,81,2,2,1,1,1,6
44751,The Mechanic,2011,19,93,51,5.1,4.5,6.0,81,1,3,0,2,1,6
35535,Snakes on a Plane,2006,19,105,51,5.0,5.0,5.0,81,1,2,0,2,0,6
21644,Winchester '73,1950,22,92,51,8.2,8.27,8.0,81,1,3,2,4,0,6
18617,Legionnaire,1998,19,95,51,6.7,6.5,7.0,81,0,3,1,4,1,6
