filmtv_id,title,year,genre,duration,country,avg_vote,critics_vote,public_vote,total_votes,humor,rhythm,effort,tension,erotism,Labels
325,Amarcord,1973,7,125,70,8.5,8.75,8.0,403,3,3,3,0,2,3
56212,Dallas Buyers Club,2013,4,117,51,7.2,7.11,7.0,401,1,2,3,1,2,3
3517,Close Encounters of the Third Kind,1977,5,138,51,7.8,7.94,8.0,399,1,3,2,2,0,3
22317,A Beautiful Mind,2001,4,134,51,7.1,6.83,7.0,399,1,4,3,4,1,3
51109,Rush,2013,19,123,51,7.4,7.39,7.0,398,1,3,2,3,1,3
58168,Blue Jasmine,2013,27,98,51,7.3,7.51,7.0,397,2,3,2,2,1,3
24726,28 Days Later,2002,5,112,95,7.0,6.79,7.0,397,1,3,3,3,0,3
5359,Point Break,1991,19,110,51,7.8,7.77,8.0,396,1,4,3,4,1,3
20896,Det sjunde inseglet,1957,4,96,84,8.9,9.14,9.0,394,1,2,4,3,0,3
32792,El laberinto del fauno,2006,4,114,126,7.2,7.17,7.0,393,1,2,3,4,1,3
43885,Source Code,2011,5,93,51,7.0,6.77,7.0,393,1,3,3,3,1,3
65004,Smetto quando voglio,2014,27,100,70,6.9,6.92,7.0,393,3,3,2,1,1,3
150091,Dogman,2018,4,120,70,7.5,7.44,8.0,392,0,0,0,0,0,3
15917,Indagine su un cittadino al di sopra di ogni sospetto,1970,4,114,70,8.7,8.71,9.0,392,2,2,4,3,2,3
2427,Duel,1971,14,90,51,8.2,8.18,8.0,391,0,4,3,4,0,3
20554,Hua yang nian hua,2000,1,98,32,8.4,8.72,8.0,390,0,2,3,1,1,3
25660,Finding Nemo,2003,9,100,51,7.8,7.78,8.0,389,2,1,1,1,0,3
40707,Invictus,2009,16,133,51,7.0,7.03,7.0,389,1,3,5,2,0,3
11470,Brazil,1985,7,142,95,7.9,8.12,8.0,389,3,4,4,3,0,3
26341,The Passion of the Christ,2004,8,126,51,5.9,5.64,6.0,388,0,1,4,2,0,3
3232,The Great Dictator,1940,27,118,51,9.1,9.03,9.0,388,3,3,3,1,0,3
7761,Videodrome,1983,13,90,51,8.2,8.2,8.0,388,0,2,3,3,1,3
40090,Public Enemies,2009,16,143,51,7.0,7.05,7.0,388,1,2,2,3,1,3
29865,King Kong,2005,20,187,51,7.2,7.36,7.0,387,1,3,1,1,1,3
10262,Cape Fear,1991,14,118,51,7.6,7.71,8.0,387,1,3,1,4,1,3
24308,The Matrix Reloaded,2003,5,138,51,5.9,5.65,6.0,387,1,3,1,2,1,3
38137,Vicky Cristina Barcelona,2008,27,96,51,5.9,5.75,6.0,386,1,2,0,1,2,3
53084,12 Years a Slave,2013,4,133,51,7.3,7.33,7.0,386,0,2,4,3,1,3
43493,True Grit ,2010,22,110,51,7.3,7.24,7.0,386,2,3,3,2,0,3
36714,Spider-Man 3,2007,24,156,51,5.9,5.87,6.0,384,2,3,2,2,0,3
82649,Sully,2016,4,96,51,7.5,7.62,7.0,384,0,1,1,1,0,3
22369,"Monsters, Inc.",2001,9,92,51,8.4,8.48,8.0,383,4,4,3,2,0,3
37769,Sweeney Todd: The Demon Barber of Fleet Street,2007,6,117,51,7.0,7.08,7.0,383,2,2,3,4,0,3
