filmtv_id,title,year,genre,duration,country,avg_vote,critics_vote,public_vote,total_votes,humor,rhythm,effort,tension,erotism,Labels
83555,Neruda,2016,16,107,114,7.1,7.48,7.0,105,0,0,0,0,0,2
39233,The Duchess,2008,16,110,51,5.9,5.64,6.0,102,1,2,1,1,1,2
24010,El Alamein - La linea del fuoco,2002,15,117,70,7.3,7.42,7.0,100,1,2,2,2,0,2
39052,W.,2008,16,129,51,6.6,6.86,6.0,99,2,1,3,1,0,2
74970,Taxi,2015,17,82,122,7.0,7.07,7.0,99,1,1,3,1,0,2
49209,Searching for Sugar Man,2011,17,85,53,8.0,8.15,8.0,98,1,2,4,0,0,2
72231,Cop Car,2015,14,86,51,6.0,6.11,6.0,96,1,2,2,3,0,2
13040,Jade,1995,14,96,51,6.5,6.56,7.0,96,0,3,0,3,2,2
20478,U-571,2000,15,115,51,5.9,5.57,6.0,96,0,3,1,3,0,2
27466,Twisted,2004,14,97,51,5.1,4.8,5.0,95,0,3,2,3,2,2
39323,Saw V,2008,14,92,51,4.3,3.3,5.0,95,0,1,0,2,0,2
49257,The Words,2012,14,96,51,5.7,5.45,6.0,95,0,2,2,2,0,2
33329,Bug,2006,14,98,51,6.5,6.69,6.0,95,0,2,2,2,1,2
156299,Volevo nascondermi,2020,16,120,70,7.1,7.15,7.0,94,0,0,0,0,0,2
27015,Godsend,2004,14,102,51,5.2,5.22,5.0,94,1,2,1,3,0,2
4372,My Left Foot,1989,16,106,95,7.7,7.64,8.0,94,1,3,4,4,0,2
22484,Lantana,2001,14,120,92,7.4,7.9,7.0,93,0,2,3,3,2,2
30956,Cry_Wolf,2005,14,90,51,5.4,5.18,6.0,93,1,3,0,2,0,2
36897,La môme,2007,16,140,42,6.5,6.53,7.0,93,1,2,2,2,0,2
1690,Coma,1978,14,113,51,7.5,7.61,7.0,92,0,2,1,3,1,2
38594,The X-Files: I Want to Believe,2008,14,104,51,4.7,4.75,5.0,92,0,2,1,1,0,2
73423,Green Room,2015,14,94,51,6.2,6.38,6.0,92,0,1,0,1,0,2
9901,The Private Life of Sherlock Holmes,1970,14,128,95,7.6,7.82,7.0,92,3,3,2,3,1,2
17399,Ludwig,1973,16,173,70,8.0,8.08,8.0,92,0,3,4,3,2,2
20631,Almost Blue,2000,14,75,70,4.7,4.62,5.0,92,1,3,1,3,1,2
6530,Clue,1985,14,96,51,6.7,6.82,7.0,91,3,4,0,2,1,2
19226,The General's Daughter,1999,14,108,51,5.6,5.4,6.0,91,0,2,1,1,0,2
36843,Perfect Stranger,2007,14,110,51,5.3,5.33,5.0,91,0,2,0,2,1,2
37368,Mr. Brooks,2007,14,120,51,5.3,5.0,6.0,91,0,2,0,1,0,2
23635,Das Experiment,2001,14,114,113,6.7,6.7,7.0,91,0,3,2,3,1,2
49811,The Possession,2012,13,91,51,5.5,5.82,5.0,90,0,3,2,3,0,2
49769,The Paperboy,2012,14,101,51,5.7,5.9,6.0,90,3,3,3,3,3,2
43386,Saw 3D,2010,13,90,106,3.9,2.78,5.0,90,0,2,0,2,0,2
37581,Flawless,2007,14,100,95,6.0,5.6,6.0,89,0,2,2,1,0,2
141962,Happy Death Day,2017,13,96,51,5.5,5.14,6.0,89,0,0,0,0,0,2
145423,Serenity,2019,14,97,51,5.0,4.89,5.0,89,0,0,0,0,0,2
43707,Los ojos de Julia ,2010,14,112,94,5.8,5.85,6.0,89,0,3,1,3,1,2
137028,The Nile Hilton Incident,2017,14,106,84,6.8,6.93,7.0,89,0,0,0,0,0,2
33322,The Sentinel,2006,14,108,51,4.6,3.89,5.0,89,0,2,0,1,0,2
41315,A Nightmare on Elm Street,2010,13,95,51,4.1,4.0,4.0,89,1,2,0,2,0,2
14630,The Caine Mutiny,1954,15,125,51,8.0,7.6,8.0,89,1,3,3,3,0,2
134133,Finché c'è prosecco c'è speranza,2017,14,100,70,6.5,6.55,6.0,89,0,0,0,0,0,2
80550,The Man Who Knew Infinity,2015,16,114,95,5.4,4.75,6.0,88,0,0,1,0,0,2
41498,La bocca del lupo,2009,17,76,70,6.9,7.53,6.0,88,1,2,4,2,0,2
40512,Capitalism: a love story,2009,17,127,51,7.2,7.0,7.0,88,2,2,2,1,0,2
51466,The Reluctant Fundamentalist,2012,14,128,51,6.3,6.29,6.0,88,0,2,2,1,0,2
37816,Lonely Hearts,2006,14,108,113,6.1,6.17,6.0,88,0,2,0,2,2,2
3084,Giordano Bruno,1973,16,123,70,7.3,7.29,7.0,88,0,3,4,3,1,2
18850,The Thirteenth Floor,1999,13,100,51,6.8,6.67,7.0,88,0,3,2,2,1,2
43203,Tsumetai nettaigyo ,2010,14,144,103,8.2,8.5,8.0,88,3,4,3,4,3,2
40142,The Limits of Control,2009,14,116,51,6.5,6.89,6.0,87,0,2,1,1,1,2
51186,Chernobyl Diaries,2012,13,86,51,4.2,4.0,4.0,87,1,2,1,2,1,2
