filmtv_id,title,year,genre,duration,country,avg_vote,critics_vote,public_vote,total_votes,humor,rhythm,effort,tension,erotism,Labels
6932,On Golden Pond,1981,1,107,51,6.8,6.93,7.0,80,1,2,0,1,0,0
2126,Secret Beyond the Door,1947,2,99,51,7.9,8.05,8.0,78,0,2,0,3,1,0
36957,Soom,2007,4,84,20,6.9,7.0,7.0,77,0,2,3,1,1,0
40665,The Time Traveler's Wife ,2009,1,107,51,5.6,5.43,6.0,77,0,2,1,2,0,0
11317,Le corbeau,1943,4,93,42,8.5,8.39,9.0,76,0,3,2,3,1,0
13568,An Affair to Remember,1957,1,114,51,7.4,7.58,7.0,76,2,2,1,2,1,0
42982,Angèle et Tony,2010,4,85,42,6.5,6.42,7.0,75,1,3,4,2,2,0
16063,Le diable probablement,1977,4,98,42,7.4,7.58,7.0,75,0,4,4,3,1,0
6342,The Wild One,1954,4,79,51,6.8,6.5,7.0,75,0,2,0,2,1,0
4184,Marty,1955,1,91,51,8.1,7.64,8.0,75,1,2,1,1,1,0
41932,Mammuth,2010,4,90,42,6.4,6.64,6.0,74,4,3,4,2,1,0
23257,Confidential Report,1955,4,97,51,8.2,8.0,8.0,74,1,2,2,3,1,0
80561,Desde allá,2015,4,93,1,6.7,6.93,6.0,74,0,2,2,2,1,0
332,Boxcar Bertha,1972,4,97,51,7.4,7.57,7.0,74,3,3,3,4,3,0
45831,Dream House,2011,4,92,51,4.7,4.4,5.0,74,0,2,1,1,0,0
9276,Escape from the Planet of the Apes,1971,5,100,51,7.0,6.71,7.0,73,0,2,1,3,0,0
58445,White Bird in a Blizzard,2014,4,91,51,6.4,6.45,6.0,73,1,2,1,1,2,0
6201,Heathers,1988,4,101,51,6.9,6.73,7.0,73,0,3,1,2,1,0
3955,Love Story,1970,4,101,51,5.6,5.17,6.0,73,0,2,2,1,0,0
27874,Journal d'un curé de campagne,1951,4,110,42,8.4,8.86,8.0,73,0,1,0,2,0,0
42043,Howl ,2010,4,90,51,7.1,7.5,7.0,73,2,2,4,0,2,0
38190,Redbelt,2008,4,99,51,6.5,6.46,7.0,73,0,2,1,1,0,0
39256,Pour elle,2008,4,96,42,7.3,7.29,7.0,73,0,3,0,2,1,0
38355,Hard Candy,2005,4,104,51,6.1,5.6,7.0,72,0,0,0,0,0,0
54747,Il venditore di medicine,2013,4,90,70,6.4,6.27,7.0,72,1,3,3,2,1,0
25394,Macbeth,1948,4,107,51,7.9,7.86,8.0,72,0,2,2,3,0,0
19591,Roma ore 11,1952,4,105,70,8.2,8.06,8.0,72,0,2,2,2,0,0
21533,Get Carter,2000,2,100,51,4.7,4.5,5.0,72,0,2,0,2,0,0
9594,"White Hunter, Black Heart",1990,4,119,51,6.5,6.65,6.0,72,1,2,2,3,0,0
5315,La piscine,1968,4,85,42,6.6,6.92,6.0,72,1,2,1,4,3,0
26267,The Company,2003,4,112,51,5.9,5.58,6.0,71,1,4,3,2,1,0
64945,Diplomatie,2014,4,85,42,7.1,7.56,7.0,71,0,2,3,3,0,0
1637,Lacombe Lucien,1973,4,140,42,7.2,7.54,7.0,71,0,2,3,3,1,0
65555,Un ragazzo d'oro,2014,4,95,70,4.6,4.2,5.0,71,1,1,2,2,1,0
69499,L'attesa,2015,4,100,70,6.0,6.22,6.0,71,0,3,2,1,1,0
148472,En guerre,2018,4,105,42,6.8,7.17,6.0,71,0,0,0,0,0,0
76614,Au nom de ma fille,2016,4,87,42,6.2,6.13,6.0,71,0,0,0,0,0,0
12389,Fantasma d'amore,1981,4,96,70,7.1,7.15,7.0,71,0,2,0,2,1,0
9212,"The Long, Hot Summer",1958,4,118,51,7.4,7.27,8.0,71,1,2,1,2,1,0
53303,Salvo,2013,4,103,70,6.6,7.0,6.0,71,0,1,2,1,0,0
23571,Velocità massima,2002,4,111,70,5.9,5.69,6.0,71,0,2,1,1,0,0
3088,I giorni contati,1962,4,102,70,8.0,8.0,8.0,71,0,2,3,3,0,0
22255,Figli. Hijos,2002,4,100,70,7.2,7.57,7.0,71,0,2,4,3,1,0
5419,A Place in the Sun,1951,4,122,51,7.8,7.85,8.0,71,0,3,2,4,2,0
5764,La ragazza di Bube,1963,4,111,70,7.4,7.57,7.0,71,1,3,4,4,1,0
24306,The Good Girl,2002,4,93,51,7.1,6.8,7.0,71,0,2,0,1,1,0
39989,Ricky,2009,4,90,42,6.8,6.93,7.0,71,1,2,3,2,1,0
86465,Monolith,2016,4,83,70,5.1,5.0,5.0,71,0,0,0,0,0,0
13052,The Longest Yard,1974,4,120,51,7.6,7.73,7.0,70,2,3,2,3,1,0
28228,Kinsey,2004,4,118,51,7.0,7.0,7.0,70,0,2,3,1,2,0
43925,Martha Marcy May Marlene,2011,4,120,51,6.6,6.61,7.0,70,0,2,2,3,1,0
14650,The Ghost and Mrs Muir,1947,1,104,51,8.4,8.45,8.0,70,3,4,3,4,1,0
78531,Risen,2016,4,107,51,6.1,6.57,6.0,70,0,1,2,1,0,0
16717,Totò che visse due volte,1998,4,92,70,7.4,7.67,7.0,70,1,2,4,3,0,0
56657,Sweetwater,2013,4,95,51,6.2,6.1,6.0,70,1,1,1,1,1,0
64943,La French,2014,4,135,42,7.1,7.3,7.0,70,0,2,2,3,0,0
817,I bambini ci guardano,1944,4,90,70,7.6,7.5,8.0,70,1,3,4,3,0,0
8581,The Lawnmower Man,1992,5,102,51,5.6,5.22,6.0,70,1,3,1,2,0,0
17864,The Mighty,1998,4,108,51,7.5,8.0,7.0,70,3,4,4,3,0,0
22695,L'adversaire,2002,4,120,42,6.9,7.08,7.0,70,0,2,2,3,0,0
71228,Maggie,2014,4,95,51,5.4,5.5,5.0,70,0,1,1,1,0,0
6796,Star Trek. The Wrath of Khan,1982,5,113,51,6.0,5.8,6.0,70,1,3,0,2,0,0
43137,Notizie degli scavi,2010,4,89,70,6.6,6.83,6.0,70,1,2,4,2,1,0
26504,Ni pour ni contre (bien au contraire),2003,2,111,42,6.7,7.09,6.0,70,2,2,0,2,1,0
43838,Water for Elephants ,2011,4,121,51,5.1,4.38,6.0,69,0,2,2,1,0,0
50514,A Late Quartet,2012,4,105,51,6.4,6.5,6.0,69,0,2,3,2,1,0
8962,Le doulos,1962,2,116,42,8.1,8.06,8.0,69,0,3,1,3,0,0
19808,The Blue Gardenia,1953,2,90,51,7.1,7.37,7.0,69,1,3,2,4,0,0
13259,Nelly & Monsieur Arnaud,1996,1,95,42,7.2,7.67,7.0,69,3,3,3,3,3,0
141046,Tesnota,2017,4,118,64,6.9,6.92,7.0,69,0,0,0,0,0,0
141406,Papillon,2017,4,133,51,5.7,5.33,6.0,69,0,0,0,0,0,0
